ENELEXT.ENEL_CRE_RICORRENTE_TF_24M;17921
ENELEXT.ENEL_E4E_NEGATIVOS_TEMP_2;52092
ENELEXT.ENEL_E4E_NEGATIVOS_TEMP_CEBP;550
ENELEXT.ENEL_E4E_NEGATIVOS_TEMP_CESP;149
ENELEXT.ENEL_TDM_CCDD;0
ENELEXT.ENEL_AGREFACT_FINAL_CES;1773
ENELEXT.ENEL_CRE_RICORRENTE_15M;16859
ENELEXT.ENEL_INFPDS_COMISIONES;2664783
ENELEXT.ENEL_FACTOPE_TOTAL_EOSC;7238
ENELEXT.ENEL_FACTPDS_PORTADA;667151
ENELEXT.ENEL_FACTTF_DETALLE;1008990
ENELEXT.ENEL_FECHAS_WEBI;3621
ENELEXT.ENEL_DET_INCENTIVOS_CES;7380
ENELEXT.ENEL_PERIODOS_LIQUIDADOS_TF;26
ENELEXT.ENEL_PREFACTURA_CESP;11512
ENELEXT.ENEL_CREDITOS_FINAL_V_RENTA;192906
ENELEXT.ENEL_CREDIT_DTM;8009349
ENELEXT.ENEL_PREFACTURA_CCDD;59927
ENELEXT.ENEL_PERIODOS_LIQ_PTG;0
ENELEXT.ENEL_CREDITOS_FINAL_VOLUMEN;641029
ENELEXT.ENEL_RAPPELES_WBE_ALICO;60
ENELEXT.ENEL_PREFACTURA_CCDD_RESELLERS;81
ENELEXT.ENEL_TM12_MENSUAL_TF;16873
ENELEXT.ENEL_TM2_MENSUAL_TF;16356
ENELEXT.ENEL_TXN_TEMP_STORES;2815
ENELEXT.ENEL_CRE_RICORRENTE_12M;12634
ENELEXT.ENEL_E4E_DEPOSIT_TEMP_CETVTA;8
ENELEXT.ENEL_FACTOPE_DETALLE;0
ENELEXT.ENEL_INCEN_TEMP_TF;7477
ENELEXT.ENEL_INCIDENCIAS_DTM;130
ENELEXT.ENEL_TXN_TEMP_CCDD;122
ENELEXT.ENEL_DEPOSIT_TEMP_TF;40
ENELEXT.ENEL_E4E_CONTRATOS_TEMP_TF;5083
ENELEXT.ENEL_PRODUCTOS_TEMP_CAT_TVTA;1108
ENELEXT.ENEL_PROVEEDORES_DTM;703
ENELEXT.ENEL_CREDIT_TEMP;0
ENELEXT.ENEL_CREDIT_TEMP_CETVTA;26
ENELEXT.ENEL_SCAWEB_LIQUIDACION;5707086
ENELEXT.ENEL_TXN_TEMP;0
ENELEXT.ENEL_TXN_TEMP_CESP;39
ENELEXT.ENEL_TXN_TEMP_TF;3013
ENELEXT.ENEL_E4E_FINAL_CEIS;511
ENELEXT.ENEL_E4E_CONTRATOS_TEMP_ALIADO;5079
ENELEXT.ENEL_CUADRELIQ_ALIADO;32795
ENELEXT.ENEL_TXN_TEMP_STAND;9144
ENELEXT.ENEL_CRE_RICORRENTE_6M;6568
ENELEXT.ENEL_SCAWEB_LIQUIDACION_PTG;31749
ENELEXT.ENEL_E4E_FINAL;351677
ENELEXT.ENEL_E4E_NEGATIVOS;648
ENELEXT.ENEL_E4E_NEGATIVOS_TMP2_CCDD;425
ENELEXT.ENEL_REGULARIZACION_CCDD;0
ENELEXT.ENEL_PERIODOS_LIQ_CCDD;4
ENELEXT.ENEL_ECO_FINAL;130907
ENELEXT.ENEL_FACTCAT_TVTA_DETALLE;119801
ENELEXT.ENEL_ANDROMEDA_FINAL;2693714
ENELEXT.ENEL_CAT_TVTA_BONUS_MALUS;10523
ENELEXT.ENEL_CAT_TVTA_IP_VENTA;5078
ENELEXT.ENEL_INCEN_DTM;12761268
ENELEXT.ENEL_INFORME_ICISA;45019
ENELEXT.ENEL_MEDIDAS_FINAL_PSVA;737
ENELEXT.ENEL_CRE_RICORRENTE_STORES_14M;189
ENELEXT.ENEL_CRE_RICORRENTE_STORES_15M;185
ENELEXT.ENEL_SCAWEB_LIQUIDACION_CAT_TVTA;16572
ENELEXT.ENEL_COMP_SCAWEB_E4E_CAT_TVTA;139
ENELEXT.ENEL_COMP_SCAWEB_E4E_TF;9869
ENELEXT.ENEL_CREDITOS_FINAL_VOL_GAS;102667
ENELEXT.ENEL_CREDIT_DTM_TEMP;7649835
ENELEXT.ENEL_CREDIT_FINAL_VOL_FIJA;24640779
ENELEXT.ENEL_DEPOSIT_DTM;206570
ENELEXT.ENEL_CUADRELIQ_CAT_RECEPCION;303581
ENELEXT.ENEL_E4E_NEGATIVOS_TEMP_PTG_2;2
ENELEXT.ENEL_DEPOSIT_AGRUPADO;2362
ENELEXT.ENEL_ACTIVIDAD_COMERCIAL;51
ENELEXT.ENEL_E4E_CONTRATOS_TEMP_PTG;0
ENELEXT.ENEL_LEADS_CCDD;1
ENELEXT.ENEL_CRE_RICORRENTE_TF_12M;28815
ENELEXT.ENEL_E4E_DEPOSIT_TEMP_CEBP;0
ENELEXT.ENEL_AGR_FAC_E4E_FINAL_CES;482
ENELEXT.ENEL_CAT_TVTA_BONUS_MALUS_TEMP;247
ENELEXT.ENEL_CAT_TVTA_IB_TEMP;0
ENELEXT.ENEL_TM2_MENSUAL;9376
ENELEXT.ENEL_INCEN_TEMP_OFV;6823
ENELEXT.ENEL_FICHERO_LIQUIDACION_TF;1
ENELEXT.ENEL_OPERACIONES_TEMP_OFV;78
ENELEXT.ENEL_ORDER_IMPU_TEMP_CETVTA;12
ENELEXT.ENEL_INCEN_TEMP_CCDD;2094
ENELEXT.ENEL_DEPOSIT_TEMP_CETVTA;8
ENELEXT.ENEL_E4E_DEPOSIT_TEMP_2;63
ENELEXT.ENEL_PROVEEDORES_TEMP_TF;216
ENELEXT.ENEL_COMMISSION_TEMP_CETVTA;0
ENELEXT.ENEL_SCAWEB_LIQUIDACION_INF;1456
ENELEXT.ENEL_TXN_TEMP_CEIS;38
ENELEXT.ENEL_INCEN_TEMP_CEIS;444
ENELEXT.ENEL_E4E_CONTRATOS_TEMP_CEIS;5079
ENELEXT.ENEL_COMP_E4E_CEIS;287
ENELEXT.ENEL_CREDIT_TEMP_ALIADO;35
ENELEXT.ENEL_DEPOSIT_TEMP_ALIADO;7
ENELEXT.ENEL_E4E_DEPOSIT_ALIADO_TEMP;4
ENELEXT.ENEL_E4E_DEPOSIT_ALIADO_TEMP_2;4
ENELEXT.ENEL_SCAWEB_LIQUIDACION_ALIADO;28046
ENELEXT.ENEL_RESUMEN_LIQ_ALICO;135855
ENELEXT.ENEL_ORDER_IMPU_TEMP_CEIS_2;36
ENELEXT.ENEL_TXN_TEMP_CEBP_2;0
ENELEXT.ENEL_TDM2_PTG;14
ENELEXT.ENEL_E4E_FINAL_CAT_TVTA;4629
ENELEXT.ENEL_E4E_NEGATIVOS_CAT_TVTA;32
ENELEXT.ENEL_CRE_RICORRENTE_DIAS;3660189
ENELEXT.ENEL_ECO_INF_TF;0
ENELEXT.ENEL_INFPDS_STP;2688266
ENELEXT.ENEL_FACTOPE_RESUMEN_EE;9318
ENELEXT.ENEL_FACTOPE_TOTAL_EE;1916
